Example Phrase,Dialect Cluster,Region,Latitude,Longitude
بھیا,Sindhi-Urdu,Karachi,24.8607,67.0011
سائیں,Sindhi-Urdu,Hyderabad,25.3960,68.3578
ابے بھائی ارے بھائی,Sindhi-Urdu,Karachi,24.8607,67.0011
اڑے یہ تم نے کیسا پان بنایا لو جی,Sindhi-Urdu,Karachi,24.8607,67.0011
چانول پیپسی کرانچی سیون اپ کھپے کھپے لگ ریا اے,Sindhi-Urdu,Larkana,27.5609,68.2121
مجھے نہیں پتا۔,Sindhi-Urdu,Sukkur,27.7052,68.8574
اڑےیہ تم نے کیسا پان بنایا,Sindhi-Urdu,Karachi,24.8607,67.0011
وہ سکول گیا وا اے,Punjabi-Urdu,Lahore,31.5497,74.3436
میں یہ دکان پہ ہوتا ہوں,Punjabi-Urdu,Faisalabad,31.4504,73.1350
جونسا مرضی,Punjabi-Urdu,Gujranwala,32.1877,74.1945
میرے ابے نے بتایا تھا,Punjabi-Urdu,Lahore,31.5497,74.3436
میرے ابے کو دادے نے بتایا تھا,Punjabi-Urdu,Sialkot,32.4945,74.5229
یہاں کھابے ملتے ہیں,Punjabi-Urdu,Multan,30.1575,71.5249
باندر کا تماشہ,Punjabi-Urdu,Rawalpindi,33.5651,73.0169
ماڑا,Pashto-Urdu,Peshawar,34.0150,71.5805
میرا بہن آ رہا ہے,Pashto-Urdu,Quetta,30.1798,66.9750
یہ سارا چپس آپ کا ہے,Pashto-Urdu,Swat,35.2220,72.4258
کدھر کو جاتا ہے,Pashto-Urdu,Mardan,34.1982,72.0448
ہم پشاور جائے گا,Pashto-Urdu,Peshawar,34.0150,71.5805
بہت اچھا لگا,Pashto-Urdu,Kohat,33.5860,71.4350
میرا بیٹی نے اچھے نمبر لیے ہیں,Pashto-Urdu,Bannu,32.9850,70.6042
یہاں یہ لے کر آئے ہیں ہم کو,Saraiki-Urdu,Multan,30.1575,71.5249
آج ہم کو گھما رہے ہیں,Saraiki-Urdu,Dera Ghazi Khan,30.0500,70.6333
یہ ملتان کی بہترین چائیوں میں سے ہے,Saraiki-Urdu,Multan,30.1575,71.5249
یہاں کافی لوگ آ رکھے ہیں,Saraiki-Urdu,Bahawalpur,29.3956,71.6833
میرے کو بتایا تھا,Saraiki-Urdu,Rahim Yar Khan,28.4202,70.2959
اڑےیہ تم نے کیسا پان بنایا,Standard-Urdu,Islamabad,33.6844,73.0479
وہ سکول گیا ہوا ہے,Standard-Urdu,Islamabad,33.6844,73.0479
میں دکان پہ ہوتا ہوں,Standard-Urdu,Rawalpindi,33.5651,73.0169
جو مرضی,Standard-Urdu,Islamabad,33.6844,73.0479
میرے ابو نے بتایا تھا,Standard-Urdu,Islamabad,33.6844,73.0479
میرے ابو کو دادا نے بتایا تھا,Standard-Urdu,Rawalpindi,33.5651,73.0169
یہاں پکوان ملتے ہیں,Standard-Urdu,Lahore,31.5497,74.3436
بندر کا تماشہ,Standard-Urdu,Lahore,31.5497,74.3436
میری بہن آرہی ہے,Standard-Urdu,Islamabad,33.6844,73.0479
یہ سارے چپس آپ کے ہیں,Standard-Urdu,Islamabad,33.6844,73.0479
کدھر جا رہے ہو,Standard-Urdu,Islamabad,33.6844,73.0479
میں پشاور جاؤں گا,Standard-Urdu,Peshawar,34.0150,71.5805
بہت اچھا لگا,Standard-Urdu,Multan,30.1575,71.5249
ارے یہ آپ نے کیسا پان بنایا ہے,Standard-Urdu,Karachi,24.8607,67.0011
یہ مجھے یہاں لے کر آئے ہیں,Standard-Urdu,Hyderabad,25.3960,68.3578
یہ ملتان کی بہترین چائے ہے,Standard-Urdu,Multan,30.1575,71.5249
کافی لوگ آئے ہوئے ہیں,Standard-Urdu,Lahore,31.5497,74.3436
مجھے بتایا تھا,Standard-Urdu,Rawalpindi,33.5651,73.0169
